Country,Birthrate,Deathrate
Somalia ,"45,13","16,63"
South Africa ,"18,2",22
Spain ,"10,06","9,72"
Sri Lanka ,"15,51","6,52"
Sudan ,"34,53","8,97"
Suriname ,"18,02","7,27"
Swaziland ,"27,41","29,74"
Sweden ,"10,27","10,31"
Switzerland ,"9,71","8,49"
Syria ,"27,76","4,81"
Taiwan ,"12,56","6,48"
Tajikistan ,"32,65","8,25"
Tanzania ,"37,71","16,39"
Thailand ,"13,87","7,04"
Togo ,"37,01","9,83"
Tonga ,"25,37","5,28"
Trinidad & Tobago ,"12,9","10,57"
Tunisia ,"15,52","5,13"
Turkey ,"16,62","5,97"
Turkmenistan ,"27,61","8,6"
Turks & Caicos Is ,"21,84","4,21"
Tuvalu ,"22,18","7,11"
Uganda ,"47,35","12,24"
Ukraine ,"8,82","14,39"
United Arab Emirates ,"18,96","4,4"
United Kingdom ,"10,71","10,13"
United States ,"14,14","8,26"
Uruguay ,"13,91","9,05"
Uzbekistan ,"26,36","7,84"
Vanuatu ,"22,72","7,82"
Venezuela ,"18,71","4,92"
Vietnam ,"16,86","6,22"
Virgin Islands ,"13,96","6,43"
Wallis and Futuna ,,
West Bank ,"31,67","3,92"
Western Sahara ,,
Yemen ,"42,89","8,3"
Zambia ,41,"19,93"
Zimbabwe ,"28,01","21,84"
