Country,Coastline ,Infant mortality (per 1000 births),GDP ($ per capita),Arable ,Crops ,Climate,Birthrate,Deathrate,Agriculture
Gabon ,"0,33","53,64",5500,"1,26","0,66",2,"36,16","12,25","0,061"
"Gambia, The ","0,71","72,02",1700,25,"0,5",2,"39,37","12,25","0,308"
Gaza Strip ,"11,11","22,93",600,"28,95","21,05",3,"39,45","3,8","0,03"
Georgia ,"0,44","18,59",2500,"11,44","3,86",3,"10,41","9,23","0,172"
Germany ,"0,67","4,16",27600,"33,85","0,59",3,"8,25","10,62","0,009"
Ghana ,"0,23","51,43",2200,"16,26","9,67",2,"30,52","9,72","0,366"
Gibraltar ,"171,43","5,13",17500,0,0,,"10,74","9,31",
Greece ,"10,37","5,53",20000,"21,1","8,78",3,"9,68","10,24","0,054"
Greenland ,"2,04","15,82",20000,0,0,1,"15,93","7,84",
Grenada ,"35,17","14,62",5000,"5,88","29,41",2,"22,08","6,88","0,054"
Guadeloupe ,"17,19","8,6",8000,"11,24","3,55",2,"15,05","6,09","0,15"
Guam ,"23,20","6,94",21000,"9,09","16,36",2,"18,79","4,48",
Guatemala ,"0,37","35,93",4100,"12,54","5,03",2,"29,88","5,2","0,227"
Guernsey ,"64,10","4,71",20000,,,3,"8,81","10,01","0,03"
Guinea ,"0,13","90,37",2100,"3,63","2,58",2,"41,76","15,48","0,237"
Guinea-Bissau ,"0,97","107,17",800,"10,67","8,82",2,"37,22","16,53","0,62"
Guyana ,"0,21","33,26",4000,"2,44","0,15",2,"18,28","8,28","0,37"
Haiti ,"6,38","73,45",1600,"28,3","11,61",2,"36,44","12,17","0,28"
Honduras ,"0,73","29,32",2600,"9,55","3,22",2,"28,24","5,28","0,139"
Hong Kong ,"67,12","2,97",28800,"5,05","1,01",2,"7,29","6,29","0,001"
Hungary ,"0,00","8,57",13900,"50,09","2,06",3,"9,72","13,11","0,037"
Iceland ,"4,83","3,31",30900,"0,07",0,3,"13,64","6,72","0,086"
India ,"0,21","56,29",2900,"54,4","2,74","2,5","22,01","8,18","0,186"
Indonesia ,"2,85","35,6",3200,"11,32","7,23",2,"20,34","6,25","0,134"
Iran ,"0,15","41,58",7000,"8,72","1,39",1,17,"5,55","0,116"
Iraq ,"0,01","50,25",1500,"13,15","0,78",1,"31,98","5,37","0,073"
Ireland ,"2,06","5,39",29600,"15,2","0,03",3,"14,45","7,82","0,05"
Isle of Man ,"27,97","5,93",21000,9,0,3,"11,05","11,19","0,01"
